,Entity,metric,value
1611,Seychelles,cum_pop,5832901597.0
1612,Turkey,cum_pop,5914003489.0
1613,Brazil,cum_pop,6121837320.0
1614,Saint Lucia,cum_pop,6122018275.0
1615,Croatia,cum_pop,6126142806.0
1616,Argentina (Urban),cum_pop,6166553480.0
1617,Greece,cum_pop,6177308159.0
1618,Lebanon,cum_pop,6184120032.0
1619,Bosnia and Herzegovina,cum_pop,6187471559.0
1620,Chile,cum_pop,6205941998.0
1621,Costa Rica,cum_pop,6210891952.0
1622,Hungary,cum_pop,6220679918.0
1623,Panama,cum_pop,6224786689.0
1624,Trinidad and Tobago,cum_pop,6226170761.0
1625,Slovakia,cum_pop,6231609993.0
1626,Latvia,cum_pop,6233552241.0
1627,Uruguay,cum_pop,6236988887.0
1628,Portugal,cum_pop,6247289187.0
1629,Malaysia,cum_pop,6278394215.0
1630,Lithuania,cum_pop,6281222618.0
1631,Czechia,cum_pop,6291817056.0
1632,Estonia,cum_pop,6293134440.0
1633,Israel,cum_pop,6301847740.0
1634,Spain,cum_pop,6348440976.0
1635,Slovenia,cum_pop,6350507364.0
1636,Italy,cum_pop,6411044073.0
1637,Cyprus,cum_pop,6412223753.0
1638,South Korea,cum_pop,6463585664.0
1639,Taiwan,cum_pop,6487138134.0
1640,United Kingdom,cum_pop,6553196993.0
1641,Japan,cum_pop,6679982790.0
1642,Malta,cum_pop,6680450789.0
1643,United States,cum_pop,7005436328.0
1644,France,cum_pop,7072300707.0
1645,Ireland,cum_pop,7077108095.0
1646,Germany,cum_pop,7159765097.0
1647,Belgium,cum_pop,7171140255.0
1648,Canada,cum_pop,7207683576.0
1649,Australia,cum_pop,7232285436.0
1650,Finland,cum_pop,7237793650.0
1651,Austria,cum_pop,7246591216.0
1652,Netherlands,cum_pop,7263722512.0
1653,Sweden,cum_pop,7273780210.0
1654,Denmark,cum_pop,7279545190.0
1655,Luxembourg,cum_pop,7280141526.0
1656,Switzerland,cum_pop,7288593366.0
1657,Iceland,cum_pop,7288936766.0
1658,Norway,cum_pop,7294213734.0
1659,United Arab Emirates,cum_pop,7303700937.0
