Entity,Year,0 or 1 dose,2 doses,3 doses,4 doses
80+,534,17.252285927885445,12.710171768892762,15.418615408336331,13.205654875563472
80+,541,12.659538962608325,18.326430377890993,18.196803784935188,11.243574472869605
80+,548,29.939085476089033,31.39891396697573,18.753447324875896,11.116823923405082
80+,555,24.19271223344815,25.9475488833287,26.993892631792058,19.667583337071324
80+,562,29.969108764811654,35.35344137841207,20.645753283248265,18.16293869494145
80+,569,23.066188427693266,41.1191895781545,39.91687896967491,17.001020061203672
80+,576,25.380125054797997,26.261982029300867,17.887381048916026,16.236072494063684
80+,583,26.544485094694565,16.951706471784828,24.291891366661808,14.45786373295317
80+,590,23.09628842644987,22.697181766597314,25.94610623077208,13.374079696140909
80+,597,16.173752310536045,18.978933383943822,30.124640700899974,11.977322935242608
All ages,282,1.167176502223365,0.3147248784944771,0.03642935457669184,0.0
All ages,289,0.620483146625024,0.4634194491517116,0.023114568743991256,0.0
All ages,296,1.3385824698025592,0.501378114022764,0.05346735239857151,0.0
All ages,303,1.6164721087513043,0.7962645825142165,0.10724812866153036,0.0
All ages,310,1.5823329601019316,1.1148392480173595,0.08220056610816624,0.0
All ages,317,1.5705011829119462,1.2117322946297033,0.1216892875051317,0.0
All ages,324,2.954493703932553,1.714144277808704,0.17791490269959417,0.0
All ages,331,4.094737977770587,2.095883258599837,0.16877304384049863,0.0
All ages,338,2.93451776553827,2.3954863150242742,0.3071233626383798,0.0
All ages,345,4.7365521232585595,2.0075544225546236,0.16032401982168015,0.0
All ages,352,4.308821004533023,1.9866933571463106,0.26779101143394707,0.0
